=== TOP CUMULATIVE ===
Wed Jul 29 04:04:00 2026    /home/dev/profile_tmp.pstats

         38825690 function calls (38102881 primitive calls) in 579.168 seconds

   Ordered by: cumulative time
   List reduced from 8741 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    69804    0.833    0.000    3.189    0.000 /home/dev/generals-bots/.venv/lib/python3.11/site-packages/jax/_src/interpreters/partial_eval.py:1931(default_process_primitive)
 3339/439    0.810    0.000   12.102    0.028 /home/dev/generals-bots/.venv/lib/python3.11/site-packages/jax/_src/interpreters/mlir.py:2075(jaxpr_subcomp)
     3003    0.790    0.000    9.858    0.003 /home/dev/generals-bots/.venv/lib/python3.11/site-packages/jax/_src/array.py:1153(shard_device_array)
      439    0.684    0.002   16.719    0.038 /home/dev/generals-bots/.venv/lib/python3.11/site-packages/jax/_src/interpreters/mlir.py:1287(lower_jaxpr_to_module)
266661/266008    0.681    0.000    1.024    0.000 /home/dev/generals-bots/.venv/lib/python3.11/site-packages/jax/_src/util.py:270(wrapper)
     1676    0.621    0.000  270.451    0.161 /home/dev/generals-bots/.venv/lib/python3.11/site-packages/jax/_src/pjit.py:1207(_pjit_call_impl)
   658893    0.600    0.000    1.342    0.000 /home/dev/generals-bots/.venv/lib/python3.11/site-packages/jax/_src/core.py:1924(typeof)
   110655    0.558    0.000    1.243    0.000 /home/dev/generals-bots/.venv/lib/python3.11/site-packages/jax/_src/core.py:2422(__new__)
   103504    0.554    0.000    1.560    0.000 /home/dev/generals-bots/.venv/lib/python3.11/site-packages/jax/_src/interpreters/partial_eval.py:1844(make_eqn)
      537    0.498    0.001    0.502    0.001 {method 'tofile' of 'numpy.ndarray' objects}
    85126    0.477    0.000    0.528    0.000 /home/dev/generals-bots/.venv/lib/python3.11/site-packages/jax/_src/interpreters/mlir.py:2245(_emit_cached_call)


