turn,causal_score_effect_pts,critic_value_delta
191,9.375000,-0.787171
186,-37.500000,-0.611023
140,6.250000,-1.126300
176,21.875000,-0.480600
128,31.250000,-0.741035
131,-59.375000,-1.082705
178,-46.875000,-0.758144
182,18.750000,-0.518922
184,-50.000000,-0.897404
176,-31.250000,-0.822212
180,-75.000000,-0.636921
175,3.125000,-0.707124
186,0.000000,-0.534906
129,25.000000,-0.610177
179,46.875000,-0.834578
177,-50.000000,-0.812590
180,-25.000000,-0.762677
184,43.750000,-0.805277
194,12.500000,-0.389561
187,-37.500000,-0.789742
135,-68.750000,-0.695681
134,-34.375000,-0.608288
133,-40.625000,-0.767373
182,-62.500000,-0.815808
191,-37.500000,-1.255685
192,-43.750000,-0.798060
189,6.250000,-0.552655
181,-87.500000,-1.113873
191,-31.250000,-0.866189
183,31.250000,-0.782645
194,-50.000000,-0.597609
185,-46.875000,-0.664678
175,-56.250000,-1.300946
130,-21.875000,-0.972491
193,-87.500000,-0.670937
188,-6.250000,-0.926787
132,-56.250000,-1.112196
188,43.750000,-0.849915
172,37.500000,-1.023419
184,-6.250000,-0.947560
179,78.125000,-0.670129
182,43.750000,-0.721302
175,25.000000,-0.792509
138,62.500000,-0.497788
130,-3.125000,-1.350198
179,-34.375000,-0.875189
185,-68.750000,-1.058435
184,37.500000,-0.419538
179,-56.250000,-0.994750
127,-6.250000,-0.864550
171,0.000000,-0.816681
181,0.000000,-0.263183
132,43.750000,-0.490967
182,-25.000000,-0.378269
186,56.250000,-0.339768
181,37.500000,-0.818628
131,25.000000,-0.917729
183,-40.625000,-0.754617
179,15.625000,-1.142588
184,-81.250000,-1.035880
190,-12.500000,-0.678761
184,-31.250000,-0.961764
133,-40.625000,-0.819570
190,-75.000000,-1.079187
132,-43.750000,-0.626793
181,-15.625000,-0.593147
136,31.250000,-0.753640
130,-65.625000,-0.858344
179,43.750000,-0.694808
190,-81.250000,-1.090785
128,-6.250000,-0.624349
189,-9.375000,-0.531147
187,-37.500000,-0.710817
169,46.875000,-0.647726
184,0.000000,-1.254071
130,21.875000,-0.650025
132,56.250000,-0.750538
187,68.750000,-0.724287
182,-15.625000,-1.043177
131,-71.875000,-1.185043
181,43.750000,-0.825933
171,-28.125000,-0.694339
133,0.000000,-0.945846
190,0.000000,-0.446400
196,-3.125000,-1.097629
130,-75.000000,-1.250239
176,28.125000,-0.626607
130,-12.500000,-0.567116
191,-81.250000,-1.157344
195,6.250000,-0.126604
184,-15.625000,-0.615523
137,-81.250000,-1.017838
169,9.375000,-0.662596
181,6.250000,-0.977966
189,0.000000,-0.758553
127,50.000000,-0.605002
132,-18.750000,-0.786785
176,18.750000,-0.904506
184,-6.250000,-0.900385
134,18.750000,-0.645409
183,15.625000,-0.775664
187,31.250000,-0.383719
183,-50.000000,-0.969103
142,-6.250000,-0.269556
130,53.125000,-0.601496
127,-46.875000,-0.844109
185,-56.250000,-1.364176
170,75.000000,-0.370840
189,68.750000,-0.599739
134,6.250000,-1.066719
180,-87.500000,-1.208433
175,-6.250000,-0.564479
131,28.125000,-0.789199
174,53.125000,-0.630274
181,31.250000,-0.642292
187,-12.500000,-1.187720
189,25.000000,-0.978709
186,0.000000,-1.104624
174,59.375000,-0.623479
179,0.000000,-0.897214
191,37.500000,-0.570207
177,6.250000,-0.515551
175,-37.500000,-1.064244
187,-28.125000,-0.603951
185,-68.750000,-0.791392
176,-46.875000,-0.813063
184,34.375000,-0.736165
130,53.125000,-0.364726
134,-50.000000,-0.900059
178,34.375000,-0.924567
176,68.750000,-0.322452
128,9.375000,-0.854620
132,68.750000,-0.807478
177,-87.500000,-1.309094
175,31.250000,-0.642729
181,-18.750000,-0.771393
133,0.000000,-0.854303
179,-21.875000,-0.555631
132,-34.375000,-0.580601
184,-31.250000,-0.944435
193,-3.125000,-1.176885
187,0.000000,-0.811021
184,-6.250000,-0.300905
129,40.625000,-0.669919
129,21.875000,-0.854866
136,-59.375000,-1.044015
180,-50.000000,-0.982866
190,-56.250000,-1.060282
187,-53.125000,-0.907510
378,-56.250000,-0.630538
306,0.000000,-0.803100
286,-25.000000,-0.401150
223,81.250000,-0.454248
339,9.375000,-0.353561
234,9.375000,-1.072802
321,28.125000,-0.778742
279,6.250000,-1.076191
313,37.500000,-0.688600
235,18.750000,-0.411165
356,-6.250000,-0.794538
274,18.750000,-0.632583
391,50.000000,-0.166720
387,-18.750000,-0.626926
321,-28.125000,-1.109953
234,-93.750000,-1.152070
246,-46.875000,-1.078059
216,50.000000,-0.411237
395,0.000000,-0.258626
283,-6.250000,-0.363336
375,31.250000,-0.416348
396,-50.000000,-0.655545
327,0.000000,-0.098089
321,40.625000,-0.488336
289,62.500000,-0.591952
326,0.000000,-0.372011
386,0.000000,-0.165607
394,-56.250000,-1.529897
333,0.000000,-0.192531
230,81.250000,-0.597641
319,18.750000,-0.251285
333,-56.250000,-1.707408
359,0.000000,-0.714589
280,-31.250000,-0.517709
321,-50.000000,-0.823893
288,-46.875000,-0.780681
239,18.750000,-0.446392
239,31.250000,-0.968990
328,-6.250000,-0.618678
321,-6.250000,-1.332351
373,0.000000,-0.088518
317,-62.500000,-1.267520
213,0.000000,-0.652969
270,31.250000,-0.428094
241,-25.000000,-0.680923
323,12.500000,-0.809073
365,9.375000,-0.326540
298,-37.500000,-1.095432
370,37.500000,-0.729926
274,25.000000,-0.704770
275,3.125000,-0.495900
361,-6.250000,-0.690670
316,-6.250000,-0.695940
308,3.125000,-1.193400
302,12.500000,-0.230831
282,-53.125000,-1.165705
264,37.500000,-0.543041
338,-6.250000,-1.124798
281,12.500000,-0.172275
232,18.750000,-0.381904
236,-50.000000,-1.512265
269,12.500000,-0.704075
337,0.000000,-0.265412
378,-3.125000,-0.582117
237,-56.250000,-0.844659
231,68.750000,-0.346425
381,12.500000,-0.663588
318,84.375000,-0.671858
280,-25.000000,-0.592470
296,-12.500000,-0.788947
327,-46.875000,-1.020632
375,-18.750000,-1.104479
374,-12.500000,-0.517271
374,53.125000,-0.571887
338,-100.000000,-1.392514
376,18.750000,-0.578191
227,-68.750000,-0.669108
374,-34.375000,-0.845956
377,-9.375000,-0.671653
323,0.000000,-1.100622
232,3.125000,-0.304492
376,0.000000,-0.069365
326,-78.125000,-1.013887
337,-6.250000,-0.573747
336,-18.750000,-1.018821
235,-18.750000,-0.935423
362,12.500000,-0.645224
310,-28.125000,-0.627397
282,9.375000,-0.352383
