checkpoint,layer,head,adjacent4_mass,adjacent4_expected,adjacent4_enrichment,adjacent4_ci_low,adjacent4_ci_high,adjacent8_mass,adjacent8_expected,adjacent8_enrichment,adjacent8_ci_low,adjacent8_ci_high,top_spatial_key_adjacent4,top_spatial_key_adjacent8,mean_attended_manhattan_distance,self_mass,special_token_mass
initial,0,0,0.06483714282512665,0.06566020923739514,0.9874647610504454,0.9856394103169954,0.9892644870634493,0.11990605294704437,0.12193614093894806,0.9833512199396229,0.9813407892572721,0.9852359118485383,0.07110969387755102,0.12382260596546311,4.710153569026034,0.018762890249490738,0.06197119504213333
initial,0,1,0.06434285640716553,0.06582770604865157,0.9774433938137138,0.9755435671799738,0.9794220668708944,0.12011122703552246,0.12225389753213453,0.9824736017430539,0.9807488204139191,0.9842810823472086,0.04672782574568289,0.07797782574568289,4.707615379621928,0.018720675259828568,0.059765491634607315
initial,0,2,0.06439264118671417,0.06539245051722184,0.9847106306217358,0.982502366675433,0.9868425203739559,0.11987488716840744,0.12142446679269656,0.9872383246538389,0.9853210561791257,0.98923528761164,0.06919642857142858,0.14351942700156986,4.691511733308618,0.01844584383070469,0.06570276618003845
initial,0,3,0.06633996963500977,0.06634238836474786,0.9999635417144648,0.9974295837577406,1.0023524911484472,0.12362395972013474,0.12319173950418438,1.0035085162178075,1.001388346385647,1.005561518097121,0.07199273940345369,0.15028944270015698,4.652995466397265,0.01941370591521263,0.051615044474601746
initial,0,4,0.06546345353126526,0.06633069968372017,0.9869254182966539,0.9839474714150467,0.9898013551189436,0.12173427641391754,0.12318596756868556,0.9882154503193832,0.9858710162875602,0.9905166190744976,0.06583594976452119,0.11894132653061225,4.683664166378003,0.019183320924639702,0.052231624722480774
initial,0,5,0.06511731445789337,0.06576318634898864,0.9901788230322692,0.9879655169838996,0.9923407604291954,0.1210874691605568,0.12216843432397277,0.9911518456514764,0.9893123215477111,0.9929860987921876,0.07334183673469388,0.1389570251177394,4.684529110064777,0.018596168607473373,0.061268217861652374
initial,0,6,0.06567340344190598,0.0649660314895161,1.0108883355835585,1.007776320848107,1.013807007712108,0.12135044485330582,0.12063527303862481,1.0059283806192574,1.003611468271191,1.008136471714268,0.07108516483516483,0.12455847723704866,4.656277683114426,0.019181765615940094,0.07127049565315247
initial,0,7,0.06519433110952377,0.06528080903258796,0.9986752933312911,0.9967601184768953,1.000532671848797,0.12173177301883698,0.12121722003927991,1.004244883518945,1.002334130094026,1.006084435189379,0.06676805337519623,0.13378139717425433,4.66281030667714,0.018905889242887497,0.06688405573368073
initial,1,0,0.0672212764620781,0.06707128788252453,1.0022362561431095,1.0011424192373786,1.0033576205478012,0.12480462342500687,0.12455647081440809,1.0019922899948612,1.0006135104690916,1.00334617976239,0.08131377551020408,0.15051020408163265,4.66295706404386,0.0195784792304039,0.0413852296769619
initial,1,1,0.06592273712158203,0.06666412255261336,0.9888787941302879,0.9880533864147509,0.989726088799405,0.12219937890768051,0.12381704532825094,0.9869350264635871,0.9857662486849115,0.9881652753521109,0.05872252747252747,0.1085655416012559,4.69324398710165,0.019315559417009354,0.047563403844833374
