timestamp,gpu_util_pct,memory_util_pct,memory_used_mib,memory_total_mib,power_w,sm_clock_mhz
2026/08/01 23:12:49.178, 0, 0, 0, 81559, 68.15, 345
2026/08/01 23:12:50.181, 0, 0, 0, 81559, 68.17, 345
2026/08/01 23:12:51.182, 0, 0, 0, 81559, 68.21, 345
2026/08/01 23:12:52.182, 0, 0, 0, 81559, 68.19, 345
2026/08/01 23:12:53.182, 0, 0, 0, 81559, 68.16, 345
2026/08/01 23:12:54.182, 0, 0, 0, 81559, 68.15, 345
2026/08/01 23:12:55.183, 0, 0, 0, 81559, 68.15, 345
2026/08/01 23:12:56.183, 0, 0, 0, 81559, 68.10, 345
2026/08/01 23:12:57.184, 0, 0, 0, 81559, 68.14, 345
2026/08/01 23:12:58.184, 0, 0, 0, 81559, 68.21, 345
2026/08/01 23:12:59.184, 0, 0, 0, 81559, 68.21, 345
2026/08/01 23:13:00.185, 0, 0, 0, 81559, 68.12, 345
2026/08/01 23:13:01.185, 0, 0, 0, 81559, 68.09, 345
2026/08/01 23:13:02.185, 0, 0, 0, 81559, 68.11, 345
2026/08/01 23:13:03.186, 0, 0, 23, 81559, 70.86, 1980
2026/08/01 23:13:04.186, 0, 0, 61367, 81559, 114.71, 1980
2026/08/01 23:13:05.187, 0, 0, 61371, 81559, 114.56, 1980
2026/08/01 23:13:06.187, 0, 0, 61371, 81559, 114.54, 1980
2026/08/01 23:13:07.188, 0, 0, 61371, 81559, 114.57, 1980
2026/08/01 23:13:08.188, 0, 0, 61371, 81559, 114.56, 1980
2026/08/01 23:13:09.188, 0, 0, 61371, 81559, 114.65, 1980
2026/08/01 23:13:10.188, 0, 0, 61371, 81559, 114.68, 1980
2026/08/01 23:13:11.189, 0, 0, 61371, 81559, 114.66, 1980
2026/08/01 23:13:12.189, 0, 0, 61371, 81559, 114.69, 1980
2026/08/01 23:13:13.189, 0, 0, 61371, 81559, 114.69, 1980
2026/08/01 23:13:14.190, 0, 0, 61371, 81559, 114.68, 1980
2026/08/01 23:13:15.190, 0, 0, 61371, 81559, 114.70, 1980
2026/08/01 23:13:16.190, 0, 0, 61371, 81559, 114.74, 1980
2026/08/01 23:13:17.191, 0, 0, 61371, 81559, 114.79, 1980
2026/08/01 23:13:18.191, 0, 0, 61371, 81559, 114.77, 1980
2026/08/01 23:13:19.192, 0, 0, 61371, 81559, 114.79, 1980
2026/08/01 23:13:20.192, 0, 0, 61373, 81559, 115.10, 1980
2026/08/01 23:13:21.192, 0, 0, 61375, 81559, 125.01, 1980
2026/08/01 23:13:22.192, 0, 0, 61375, 81559, 114.86, 1980
2026/08/01 23:13:23.193, 0, 0, 61375, 81559, 115.62, 1980
