timestamp,gpu_util_pct,memory_util_pct,memory_used_mib,memory_total_mib,power_w,sm_clock_mhz
2026/08/01 23:30:00.354, 0, 0, 0, 81559, 68.26, 345
2026/08/01 23:30:01.358, 0, 0, 0, 81559, 68.28, 345
2026/08/01 23:30:02.358, 0, 0, 0, 81559, 68.33, 345
2026/08/01 23:30:03.359, 0, 0, 0, 81559, 68.28, 345
2026/08/01 23:30:04.359, 0, 0, 0, 81559, 68.29, 345
2026/08/01 23:30:05.359, 0, 0, 0, 81559, 68.29, 345
2026/08/01 23:30:06.359, 0, 0, 0, 81559, 68.25, 345
2026/08/01 23:30:07.360, 0, 0, 0, 81559, 68.27, 345
2026/08/01 23:30:08.360, 0, 0, 0, 81559, 68.31, 345
2026/08/01 23:30:09.360, 0, 0, 0, 81559, 68.34, 345
2026/08/01 23:30:10.361, 0, 0, 0, 81559, 68.26, 345
2026/08/01 23:30:11.361, 0, 0, 0, 81559, 68.20, 345
2026/08/01 23:30:12.361, 0, 0, 0, 81559, 68.22, 345
2026/08/01 23:30:13.361, 0, 0, 0, 81559, 68.21, 345
2026/08/01 23:30:14.362, 0, 0, 0, 81559, 68.11, 345
2026/08/01 23:30:15.362, 0, 0, 0, 81559, 68.22, 345
2026/08/01 23:30:16.362, 0, 0, 61367, 81559, 96.62, 1980
2026/08/01 23:30:17.363, 0, 0, 61371, 81559, 114.53, 1980
2026/08/01 23:30:18.363, 0, 0, 61371, 81559, 114.55, 1980
2026/08/01 23:30:19.364, 0, 0, 61371, 81559, 114.63, 1980
2026/08/01 23:30:20.364, 0, 0, 61371, 81559, 114.65, 1980
2026/08/01 23:30:21.364, 0, 0, 61371, 81559, 114.67, 1980
2026/08/01 23:30:22.364, 0, 0, 61371, 81559, 114.66, 1980
2026/08/01 23:30:23.365, 0, 0, 61371, 81559, 114.69, 1980
2026/08/01 23:30:24.365, 0, 0, 61371, 81559, 114.72, 1980
2026/08/01 23:30:25.365, 0, 0, 61371, 81559, 114.72, 1980
2026/08/01 23:30:26.366, 0, 0, 61371, 81559, 114.69, 1980
2026/08/01 23:30:27.366, 1, 0, 61371, 81559, 114.65, 1980
2026/08/01 23:30:28.367, 0, 0, 61371, 81559, 114.70, 1980
2026/08/01 23:30:29.367, 17, 11, 61375, 81559, 124.14, 1980
2026/08/01 23:30:30.367, 0, 0, 61375, 81559, 125.52, 1980
2026/08/01 23:30:31.368, 0, 0, 61375, 81559, 122.87, 1980
2026/08/01 23:30:32.368, 18, 9, 61377, 81559, 137.15, 1980
2026/08/01 23:30:33.368, 5, 1, 61377, 81559, 129.11, 1980
2026/08/01 23:30:34.369, 0, 0, 61377, 81559, 123.59, 1980
2026/08/01 23:30:35.369, 0, 0, 61377, 81559, 129.98, 1980
2026/08/01 23:30:36.369, 17, 8, 61379, 81559, 134.97, 1980
2026/08/01 23:30:37.370, 0, 0, 61379, 81559, 126.19, 1980
2026/08/01 23:30:38.370, 0, 0, 61379, 81559, 127.91, 1980
2026/08/01 23:30:39.370, 0, 0, 61381, 81559, 134.80, 1980
2026/08/01 23:30:40.371, 38, 22, 61381, 81559, 136.43, 1980
2026/08/01 23:30:41.371, 0, 0, 61381, 81559, 133.32, 1980
2026/08/01 23:30:42.371, 0, 0, 61381, 81559, 114.82, 1980
2026/08/01 23:30:43.372, 0, 0, 61381, 81559, 115.35, 1980
2026/08/01 23:30:44.372, 0, 0, 61381, 81559, 114.72, 1980
2026/08/01 23:30:45.372, 0, 0, 61381, 81559, 114.81, 1980
2026/08/01 23:30:46.373, 0, 0, 61383, 81559, 114.81, 1980
2026/08/01 23:30:47.373, 0, 0, 61383, 81559, 114.78, 1980
2026/08/01 23:30:48.373, 0, 0, 61383, 81559, 114.73, 1980
2026/08/01 23:30:49.373, 0, 0, 61383, 81559, 114.72, 1980
2026/08/01 23:30:50.374, 0, 0, 61383, 81559, 114.70, 1980
2026/08/01 23:30:51.374, 0, 0, 61383, 81559, 114.73, 1980
2026/08/01 23:30:52.374, 0, 0, 61383, 81559, 114.79, 1980
2026/08/01 23:30:53.375, 0, 0, 61383, 81559, 114.71, 1980
2026/08/01 23:30:54.375, 0, 0, 61383, 81559, 114.73, 1980
2026/08/01 23:30:55.375, 0, 0, 61383, 81559, 114.79, 1980
2026/08/01 23:30:56.376, 0, 0, 61383, 81559, 114.82, 1980
2026/08/01 23:30:57.376, 0, 0, 61383, 81559, 114.72, 1980
2026/08/01 23:30:58.376, 0, 0, 61383, 81559, 115.62, 1980
2026/08/01 23:30:59.376, 0, 0, 61383, 81559, 114.87, 1980
2026/08/01 23:31:00.377, 0, 0, 61447, 81559, 114.72, 1980
2026/08/01 23:31:01.377, 0, 0, 61449, 81559, 116.33, 1980
2026/08/01 23:31:02.377, 0, 0, 61449, 81559, 114.72, 1980
2026/08/01 23:31:03.378, 0, 0, 61451, 81559, 114.76, 1980
2026/08/01 23:31:04.378, 0, 0, 61451, 81559, 114.76, 1980
2026/08/01 23:31:05.379, 0, 0, 61453, 81559, 114.74, 1980
2026/08/01 23:31:06.379, 0, 0, 61453, 81559, 114.77, 1980
2026/08/01 23:31:07.379, 0, 0, 61453, 81559, 114.72, 1980
2026/08/01 23:31:08.379, 0, 0, 61455, 81559, 114.85, 1980
2026/08/01 23:31:09.380, 0, 0, 61455, 81559, 114.81, 1980
2026/08/01 23:31:10.380, 0, 0, 61457, 81559, 114.71, 1980
2026/08/01 23:31:11.380, 0, 0, 61457, 81559, 114.66, 1980
2026/08/01 23:31:12.381, 0, 0, 61457, 81559, 114.68, 1980
2026/08/01 23:31:13.381, 2, 0, 61457, 81559, 114.81, 1980
2026/08/01 23:31:14.381, 0, 0, 61457, 81559, 114.70, 1980
2026/08/01 23:31:15.381, 0, 0, 61457, 81559, 114.63, 1980
2026/08/01 23:31:16.381, 0, 0, 61457, 81559, 114.70, 1980
2026/08/01 23:31:17.382, 0, 0, 61457, 81559, 114.68, 1980
2026/08/01 23:31:18.382, 100, 65, 61459, 81559, 306.04, 1980
2026/08/01 23:31:19.382, 100, 65, 61459, 81559, 565.61, 1980
2026/08/01 23:31:20.383, 100, 64, 61459, 81559, 567.51, 1980
2026/08/01 23:31:21.383, 100, 65, 61459, 81559, 573.42, 1980
2026/08/01 23:31:22.383, 100, 65, 61459, 81559, 565.50, 1980
2026/08/01 23:31:23.383, 0, 0, 61459, 81559, 408.65, 1980
2026/08/01 23:31:24.384, 0, 0, 61459, 81559, 117.83, 1980
2026/08/01 23:31:25.384, 0, 0, 61459, 81559, 117.31, 1980
2026/08/01 23:31:26.384, 0, 0, 61459, 81559, 117.13, 1980
2026/08/01 23:31:27.384, 0, 0, 61459, 81559, 116.92, 1980
2026/08/01 23:31:28.385, 80, 67, 61467, 81559, 200.36, 1980
2026/08/01 23:31:29.385, 100, 84, 61467, 81559, 626.92, 1980
2026/08/01 23:31:30.385, 100, 84, 61467, 81559, 629.42, 1980
2026/08/01 23:31:31.386, 100, 86, 61467, 81559, 624.78, 1980
2026/08/01 23:31:32.386, 1, 0, 61469, 81559, 259.10, 1980
2026/08/01 23:31:33.386, 0, 0, 61469, 81559, 118.19, 1980
2026/08/01 23:31:34.386, 0, 0, 61469, 81559, 117.90, 1980
2026/08/01 23:31:35.387, 100, 63, 61471, 81559, 514.95, 1980
2026/08/01 23:31:36.387, 100, 63, 61471, 81559, 572.46, 1980
2026/08/01 23:31:37.387, 100, 64, 61471, 81559, 573.77, 1980
2026/08/01 23:31:38.387, 100, 65, 61471, 81559, 567.05, 1980
2026/08/01 23:31:39.388, 100, 65, 61471, 81559, 578.41, 1980
2026/08/01 23:31:40.388, 0, 0, 61471, 81559, 186.81, 1980
2026/08/01 23:31:41.388, 0, 0, 61471, 81559, 119.21, 1980
2026/08/01 23:31:42.389, 0, 0, 61471, 81559, 118.76, 1980
2026/08/01 23:31:43.389, 0, 0, 61475, 81559, 118.58, 1980
2026/08/01 23:31:44.389, 100, 83, 61477, 81559, 576.25, 1980
2026/08/01 23:31:45.389, 100, 83, 61477, 81559, 628.35, 1980
2026/08/01 23:31:46.390, 100, 83, 61477, 81559, 633.50, 1980
2026/08/01 23:31:47.390, 0, 0, 61477, 81559, 402.89, 1980
2026/08/01 23:31:48.390, 100, 64, 61477, 81559, 500.85, 1980
2026/08/01 23:31:49.390, 100, 63, 61477, 81559, 564.46, 1980
2026/08/01 23:31:50.391, 100, 64, 61477, 81559, 567.20, 1980
2026/08/01 23:31:51.391, 100, 64, 61477, 81559, 574.70, 1980
2026/08/01 23:31:52.392, 100, 64, 61477, 81559, 576.73, 1980
2026/08/01 23:31:53.392, 100, 83, 61483, 81559, 582.81, 1980
2026/08/01 23:31:54.392, 100, 84, 61483, 81559, 635.41, 1980
2026/08/01 23:31:55.393, 100, 84, 61483, 81559, 635.54, 1980
2026/08/01 23:31:56.393, 83, 52, 61483, 81559, 610.70, 1980
2026/08/01 23:31:57.393, 100, 64, 61483, 81559, 577.81, 1980
2026/08/01 23:31:58.393, 100, 64, 61483, 81559, 576.74, 1980
2026/08/01 23:31:59.393, 100, 63, 61483, 81559, 567.83, 1980
2026/08/01 23:32:00.394, 100, 64, 61483, 81559, 574.46, 1980
2026/08/01 23:32:01.394, 100, 64, 61483, 81559, 558.02, 1980
2026/08/01 23:32:02.394, 100, 83, 61483, 81559, 632.21, 1980
2026/08/01 23:32:03.395, 100, 83, 61483, 81559, 638.29, 1980
2026/08/01 23:32:04.395, 100, 83, 61483, 81559, 639.21, 1980
2026/08/01 23:32:05.395, 100, 64, 61483, 81559, 584.50, 1980
2026/08/01 23:32:06.395, 100, 64, 61483, 81559, 578.72, 1980
2026/08/01 23:32:07.396, 100, 64, 61483, 81559, 583.80, 1980
2026/08/01 23:32:08.396, 100, 63, 61483, 81559, 571.84, 1980
2026/08/01 23:32:09.396, 100, 64, 61483, 81559, 575.39, 1980
2026/08/01 23:32:10.397, 100, 83, 61483, 81559, 595.30, 1980
2026/08/01 23:32:11.397, 100, 83, 61483, 81559, 641.82, 1980
2026/08/01 23:32:12.397, 100, 83, 61483, 81559, 642.74, 1980
2026/08/01 23:32:13.397, 100, 83, 61483, 81559, 643.58, 1980
2026/08/01 23:32:14.397, 100, 64, 61483, 81559, 581.87, 1980
2026/08/01 23:32:15.398, 100, 63, 61483, 81559, 574.09, 1980
2026/08/01 23:32:16.398, 100, 64, 61483, 81559, 579.96, 1980
2026/08/01 23:32:17.398, 100, 64, 61483, 81559, 587.32, 1980
2026/08/01 23:32:18.400, 100, 63, 61483, 81559, 573.34, 1980
2026/08/01 23:32:19.400, 100, 83, 61483, 81559, 608.54, 1980
2026/08/01 23:32:20.400, 100, 84, 61483, 81559, 644.22, 1980
2026/08/01 23:32:21.400, 100, 85, 61483, 81559, 644.13, 1980
2026/08/01 23:32:22.401, 100, 63, 61483, 81559, 615.19, 1980
2026/08/01 23:32:23.401, 100, 64, 61483, 81559, 583.85, 1980
2026/08/01 23:32:24.401, 100, 64, 61483, 81559, 582.16, 1980
2026/08/01 23:32:25.401, 100, 64, 61483, 81559, 582.54, 1980
2026/08/01 23:32:26.402, 100, 64, 61483, 81559, 578.86, 1980
2026/08/01 23:32:27.402, 100, 66, 61483, 81559, 564.65, 1980
2026/08/01 23:32:28.402, 100, 83, 61483, 81559, 643.77, 1980
2026/08/01 23:32:29.402, 100, 83, 61483, 81559, 647.60, 1980
2026/08/01 23:32:30.402, 100, 83, 61483, 81559, 645.47, 1980
2026/08/01 23:32:31.403, 100, 64, 61483, 81559, 601.82, 1980
2026/08/01 23:32:32.403, 100, 63, 61483, 81559, 575.04, 1980
2026/08/01 23:32:33.403, 100, 64, 61483, 81559, 579.26, 1980
2026/08/01 23:32:34.404, 100, 64, 61483, 81559, 586.58, 1980
2026/08/01 23:32:35.404, 100, 64, 61483, 81559, 581.72, 1980
2026/08/01 23:32:36.404, 100, 83, 61483, 81559, 588.41, 1980
2026/08/01 23:32:37.405, 100, 83, 61483, 81559, 648.03, 1980
2026/08/01 23:32:38.405, 100, 83, 61483, 81559, 644.77, 1980
2026/08/01 23:32:39.405, 100, 83, 61483, 81559, 646.52, 1980
2026/08/01 23:32:40.405, 100, 63, 61483, 81559, 567.73, 1980
2026/08/01 23:32:41.405, 100, 64, 61483, 81559, 582.72, 1980
2026/08/01 23:32:42.406, 100, 64, 61483, 81559, 582.99, 1980
2026/08/01 23:32:43.406, 100, 64, 61483, 81559, 586.54, 1980
