row_policy,c14000_greedy,c14000_t0.25,c14000_t0.5,c14000_t0.75,c14000_t1
c14000_greedy,0.5,0.4951171875,0.48779296875,0.51806640625,0.517578125
c14000_t0.25,0.5048828125,0.5,0.50439453125,0.505859375,0.5439453125
c14000_t0.5,0.51220703125,0.49560546875,0.5,0.51904296875,0.5517578125
c14000_t0.75,0.48193359375,0.494140625,0.48095703125,0.5,0.505859375
c14000_t1,0.482421875,0.4560546875,0.4482421875,0.494140625,0.5
