name,macro_score,micro_score,wins,losses,draws,games,completed_opponents
c14000_t0.25,0.5162109375,0.5162109375,2601.0,2435.0,84.0,5120.0,5
c14000_t0.3,0.5076171875,0.5076171875,2558.0,2480.0,82.0,5120.0,5
c14000_t0.35,0.50029296875,0.50029296875,2515.0,2512.0,93.0,5120.0,5
c14000_t0.4,0.49462890625,0.49462890625,2489.0,2544.0,87.0,5120.0,5
c14000_t0.45,0.49228515625,0.49228515625,2484.0,2563.0,73.0,5120.0,5
c14000_t0.5,0.48896484375,0.48896484375,2453.0,2566.0,101.0,5120.0,5
