match_index,a,b,behavior_a_actions,behavior_a_attack_moves,behavior_a_build_opportunity_steps,behavior_a_builds,behavior_a_completed_games,behavior_a_dithers,behavior_a_expansion_moves,behavior_a_game_length_sum,behavior_a_games_with_build,behavior_a_games_with_build_opportunity,behavior_a_games_with_successful_build,behavior_a_half_moves,behavior_a_moves,behavior_a_moves_after_move,behavior_a_passes,behavior_a_reinforce_moves,behavior_a_successful_builds,behavior_a_terminal_army_margin_sum,behavior_a_terminal_land_margin_sum,behavior_b_actions,behavior_b_attack_moves,behavior_b_build_opportunity_steps,behavior_b_builds,behavior_b_completed_games,behavior_b_dithers,behavior_b_expansion_moves,behavior_b_game_length_sum,behavior_b_games_with_build,behavior_b_games_with_build_opportunity,behavior_b_games_with_successful_build,behavior_b_half_moves,behavior_b_moves,behavior_b_moves_after_move,behavior_b_passes,behavior_b_reinforce_moves,behavior_b_successful_builds,behavior_b_terminal_army_margin_sum,behavior_b_terminal_land_margin_sum,draws,evaluation_seconds,games,losses,paired_score_std,score,score_ci95,wins
17,c10000_t0.25,c12000_greedy,567315.0,101384.0,173700.0,4095.0,1024.0,5275.0,82387.0,567315.0,897.0,1019.0,897.0,21116.0,538088.0,532589.0,25132.0,354317.0,4095.0,-248756.0,-43569.0,567315.0,101587.0,176914.0,4559.0,1024.0,5517.0,79965.0,567315.0,913.0,1012.0,913.0,14019.0,537617.0,531613.0,25139.0,356065.0,4559.0,248756.0,43569.0,10.0,65.43526765704155,1024.0,635.0,0.3205981932600583,0.375,"[0.34722959832993305, 0.40277040167006695]",379.0
18,c10000_t0.25,c12000_t0.25,568112.0,102775.0,175765.0,4302.0,1024.0,5251.0,82347.0,568112.0,896.0,1014.0,896.0,20003.0,538715.0,533011.0,25095.0,353593.0,4302.0,-208080.0,-40200.0,568112.0,102686.0,179604.0,4721.0,1024.0,5152.0,79625.0,568112.0,904.0,1015.0,904.0,14495.0,538254.0,532090.0,25137.0,355943.0,4721.0,208080.0,40200.0,18.0,52.15506733581424,1024.0,624.0,0.3343197239485951,0.3818359375,"[0.3528769688736629, 0.4107949061263371]",382.0
19,c10000_t0.25,c12000_t0.5,556978.0,98839.0,171635.0,4095.0,1024.0,4729.0,82087.0,556978.0,906.0,1019.0,906.0,20319.0,527750.0,522241.0,25133.0,346824.0,4095.0,-157144.0,-25028.0,556978.0,98350.0,170909.0,4541.0,1024.0,4322.0,79649.0,556978.0,928.0,1016.0,928.0,14863.0,527260.0,521257.0,25177.0,349261.0,4541.0,157144.0,25028.0,8.0,52.08248107880354,1024.0,582.0,0.3316806524644,0.427734375,"[0.39900400427812044, 0.45646474572187956]",434.0
20,c10000_t0.25,c12000_t0.75,563942.0,99922.0,172000.0,4296.0,1024.0,4815.0,82438.0,563942.0,933.0,1021.0,933.0,20180.0,534499.0,528773.0,25147.0,352139.0,4296.0,-170010.0,-28277.0,563942.0,99585.0,171540.0,4720.0,1024.0,3983.0,80308.0,563942.0,938.0,1019.0,938.0,16478.0,534082.0,527932.0,25140.0,354189.0,4720.0,170010.0,28277.0,10.0,52.093375109136105,1024.0,587.0,0.33292617470265823,0.421875,"[0.39303674141857353, 0.45071325858142647]",427.0
21,c10000_t0.25,c12000_t1,567932.0,101052.0,176077.0,4269.0,1024.0,5173.0,82618.0,567932.0,917.0,1017.0,917.0,19588.0,538568.0,532923.0,25095.0,354898.0,4269.0,-160692.0,-26613.0,567932.0,100220.0,176095.0,4761.0,1024.0,3938.0,80436.0,567932.0,929.0,1016.0,929.0,17612.0,538058.0,531856.0,25113.0,357402.0,4761.0,160692.0,26613.0,6.0,52.094309352338314,1024.0,585.0,0.32114506328028714,0.42578125,"[0.39796347813121596, 0.45359902186878404]",433.0
22,c10000_t0.25,c14000_greedy,545820.0,95595.0,157809.0,3885.0,1024.0,5017.0,81298.0,545820.0,909.0,1017.0,909.0,18848.0,516686.0,511346.0,25249.0,339793.0,3885.0,-264888.0,-54674.0,545820.0,97942.0,167386.0,4172.0,1024.0,3890.0,78446.0,545820.0,918.0,1017.0,918.0,14662.0,516709.0,511224.0,24939.0,340321.0,4172.0,264888.0,54674.0,17.0,52.08800898492336,1024.0,666.0,0.32300717556841696,0.34130859375,"[0.31332952463349817, 0.36928766286650183]",341.0
23,c10000_t0.25,c14000_t0.25,532593.0,92512.0,150743.0,3814.0,1024.0,4601.0,80914.0,532593.0,898.0,1014.0,898.0,18794.0,503586.0,498342.0,25193.0,330160.0,3814.0,-222992.0,-48665.0,532593.0,93743.0,163740.0,4096.0,1024.0,3783.0,78314.0,532593.0,909.0,1013.0,909.0,14826.0,503498.0,498050.0,24999.0,331441.0,4096.0,222992.0,48665.0,15.0,52.06959392875433,1024.0,653.0,0.3392310873710131,0.35498046875,"[0.32559607497200715, 0.38436486252799285]",356.0
24,c10000_t0.25,c14000_t0.5,543190.0,95055.0,155448.0,3887.0,1024.0,4651.0,81744.0,543190.0,907.0,1017.0,907.0,18928.0,514119.0,508789.0,25184.0,337320.0,3887.0,-198965.0,-39860.0,543190.0,96105.0,165456.0,4235.0,1024.0,3685.0,78591.0,543190.0,918.0,1022.0,918.0,15386.0,513999.0,508427.0,24956.0,339303.0,4235.0,198965.0,39860.0,24.0,52.093333430588245,1024.0,618.0,0.32611337979152943,0.384765625,"[0.3565174946699338, 0.4130137553300662]",382.0
25,c10000_t0.25,c14000_t0.75,538693.0,93793.0,152215.0,3901.0,1024.0,4344.0,81022.0,538693.0,908.0,1014.0,908.0,18139.0,509545.0,504201.0,25247.0,334730.0,3901.0,-205877.0,-46390.0,538693.0,95423.0,164628.0,4233.0,1024.0,3027.0,78865.0,538693.0,898.0,1014.0,898.0,15888.0,509503.0,503934.0,24957.0,335215.0,4233.0,205877.0,46390.0,16.0,52.10613102093339,1024.0,648.0,0.3310878114430488,0.359375,"[0.33069598151164986, 0.38805401848835014]",360.0
26,c10000_t0.25,c14000_t1,535125.0,92234.0,154108.0,3844.0,1024.0,4131.0,80650.0,535125.0,910.0,1014.0,910.0,18236.0,506092.0,500820.0,25189.0,333208.0,3844.0,-137035.0,-30438.0,535125.0,93027.0,159502.0,4075.0,1024.0,3225.0,78948.0,535125.0,911.0,1018.0,911.0,17186.0,506097.0,500698.0,24953.0,334122.0,4075.0,137035.0,30438.0,15.0,52.112183690071106,1024.0,596.0,0.335408688888161,0.41064453125,"[0.38159123584824084, 0.43969782665175916]",413.0
27,c10000_t0.5,c10000_t0.75,558389.0,99503.0,169384.0,4154.0,1024.0,4242.0,82289.0,558389.0,920.0,1020.0,920.0,19661.0,529118.0,523551.0,25117.0,347326.0,4154.0,38663.0,9047.0,558389.0,100479.0,167218.0,4141.0,1024.0,3792.0,82503.0,558389.0,917.0,1019.0,917.0,21113.0,529109.0,523543.0,25139.0,346127.0,4141.0,-38663.0,-9047.0,18.0,52.12245888262987,1024.0,479.0,0.33611913055655823,0.5234375,"[0.4943226657283741, 0.552552334271626]",527.0
28,c10000_t0.5,c10000_t1,560664.0,100792.0,173954.0,4277.0,1024.0,3810.0,82308.0,560664.0,921.0,1018.0,921.0,19607.0,531257.0,525558.0,25130.0,348157.0,4277.0,106464.0,18419.0,560664.0,99844.0,166578.0,4282.0,1024.0,3640.0,83463.0,560664.0,932.0,1017.0,932.0,23262.0,531284.0,525585.0,25098.0,347977.0,4282.0,-106464.0,-18419.0,24.0,52.12662351131439,1024.0,447.0,0.3258954428709099,0.5517578125,"[0.5235285599925529, 0.5799870650074471]",553.0
29,c10000_t0.5,c12000_greedy,551288.0,97372.0,165668.0,4144.0,1024.0,3977.0,82290.0,551288.0,907.0,1015.0,907.0,20499.0,522033.0,516497.0,25111.0,342371.0,4144.0,-181316.0,-33339.0,551288.0,97390.0,166704.0,4588.0,1024.0,4448.0,79710.0,551288.0,930.0,1014.0,930.0,13810.0,521578.0,515566.0,25122.0,344478.0,4588.0,181316.0,33339.0,11.0,52.081076584756374,1024.0,603.0,0.3229215483364297,0.40576171875,"[0.37779006671405624, 0.43373337078594376]",410.0
30,c10000_t0.5,c12000_t0.25,563665.0,100544.0,174987.0,4163.0,1024.0,4998.0,82817.0,563665.0,904.0,1016.0,904.0,21718.0,534401.0,528842.0,25101.0,351040.0,4163.0,-230343.0,-38320.0,563665.0,100603.0,176011.0,4618.0,1024.0,5598.0,79966.0,563665.0,907.0,1016.0,907.0,14659.0,533870.0,527798.0,25177.0,353301.0,4618.0,230343.0,38320.0,8.0,52.0871407315135,1024.0,620.0,0.3236299185467207,0.390625,"[0.36259198852509356, 0.41865801147490644]",396.0
31,c10000_t0.5,c12000_t0.5,560262.0,100151.0,172623.0,4148.0,1024.0,4582.0,82520.0,560262.0,914.0,1013.0,914.0,21742.0,530988.0,525427.0,25126.0,348317.0,4148.0,-197335.0,-33073.0,560262.0,99477.0,174128.0,4602.0,1024.0,4616.0,79932.0,560262.0,914.0,1012.0,914.0,14734.0,530590.0,524573.0,25070.0,351181.0,4602.0,197335.0,33073.0,20.0,52.12717662751675,1024.0,598.0,0.3240068965661072,0.40625,"[0.37818433447014493, 0.43431566552985507]",406.0
32,c10000_t0.5,c12000_t0.75,556474.0,99069.0,173622.0,4270.0,1024.0,4289.0,82564.0,556474.0,915.0,1014.0,915.0,20816.0,527045.0,521331.0,25159.0,345412.0,4270.0,-193890.0,-30666.0,556474.0,98776.0,173532.0,4710.0,1024.0,4049.0,80791.0,556474.0,918.0,1012.0,918.0,16114.0,526629.0,520481.0,25135.0,347062.0,4710.0,193890.0,30666.0,20.0,52.10637287795544,1024.0,589.0,0.3173197047275548,0.4150390625,"[0.38755264541042156, 0.44252547958957844]",415.0
