temperature,label,logit_strength_vs_greedy,logit_standard_error,modeled_score_vs_greedy,modeled_score_vs_greedy_ci95_low,modeled_score_vs_greedy_ci95_high
0.3,T=0.3,0.02025585373503296,0.03713633755434762,0.5050637902956767,0.4868701772542356,0.5232440026165769
0.25,T=0.25,0.020186019722463106,0.02351940379511685,0.50504633357705,0.49352235950840145,0.5165649482884618
0.0,greedy,0.0,0.0,0.5,0.5,0.5
0.35,T=0.35,-0.004282368144152701,0.037176511521240886,0.4989294096000622,0.48072247780424604,0.5171391809920487
0.1,T=0.1,-0.006358503322738113,0.0303279589906882,0.498410379525083,0.4835556072624353,0.5132679585257073
0.05,T=0.05,-0.008694346726239224,0.030071828018210837,0.4978264270104231,0.4830976604261756,0.512558966852021
0.5,T=0.5,-0.01142504234950391,0.028864183011586688,0.4971437704815721,0.4830068370413293,0.5112852721522699
0.15,T=0.15,-0.012959370203417716,0.030933446670011126,0.49676020279140504,0.4816110663439311,0.5119152899979215
0.4,T=0.4,-0.023174287114413033,0.03675610066707754,0.49420668749278285,0.47621390683712234,0.5122144869120396
0.45,T=0.45,-0.031133473038270132,0.03709662078665334,0.49221726037662317,0.47406259101994463,0.5103924789707285
0.2,T=0.2,-0.03279568763005414,0.030853804465967482,0.49180181288086355,0.4766996025609637,0.506919000589616
0.75,T=0.75,-0.07016261096460132,0.03381938690901209,0.48246653946701196,0.4659406749587953,0.49903084805797665
1.0,T=1,-0.13628482796944724,0.03364359119065622,0.46598143052774216,0.44961502613820026,0.48242140061768085
