temperature_low,temperature_high,wins_low,losses_low,draws,games,score_low,experiments
0.0,0.25,1000.0,1008.0,40.0,2048.0,0.498046875,coarse_14k;low_000_025
0.25,0.5,1030.0,984.0,34.0,2048.0,0.51123046875,coarse_14k;fine_025_050
