row_policy,c14000_greedy,c14000_t0.05,c14000_t0.1,c14000_t0.15,c14000_t0.2,c14000_t0.25
c14000_greedy,0.5,0.5185546875,0.4931640625,0.51513671875,0.5087890625,0.5009765625
c14000_t0.05,0.4814453125,0.5,0.513671875,0.51953125,0.5009765625,0.4814453125
c14000_t0.1,0.5068359375,0.486328125,0.5,0.494140625,0.49951171875,0.5126953125
c14000_t0.15,0.48486328125,0.48046875,0.505859375,0.5,0.51611328125,0.5048828125
c14000_t0.2,0.4912109375,0.4990234375,0.50048828125,0.48388671875,0.5,0.48681640625
c14000_t0.25,0.4990234375,0.5185546875,0.4873046875,0.4951171875,0.51318359375,0.5
