name,macro_score,micro_score,wins,losses,draws,games,completed_opponents
c14000_greedy,0.50732421875,0.50732421875,2545.0,2470.0,105.0,5120.0,5
c14000_t0.25,0.50263671875,0.50263671875,2526.0,2499.0,95.0,5120.0,5
c14000_t0.1,0.49990234375,0.49990234375,2510.0,2511.0,99.0,5120.0,5
c14000_t0.05,0.4994140625,0.4994140625,2516.0,2522.0,82.0,5120.0,5
c14000_t0.15,0.4984375,0.4984375,2495.0,2511.0,114.0,5120.0,5
c14000_t0.2,0.49228515625,0.49228515625,2470.0,2549.0,101.0,5120.0,5
