checkpoint,layer,head,adjacent4_mass,adjacent4_expected,adjacent4_enrichment,adjacent4_ci_low,adjacent4_ci_high,adjacent8_mass,adjacent8_expected,adjacent8_enrichment,adjacent8_ci_low,adjacent8_ci_high,top_spatial_key_adjacent4,top_spatial_key_adjacent8,mean_attended_manhattan_distance,self_mass,special_token_mass
iteration_1260_fully_fogged,0,0,0.025409160181879997,0.06119118453491301,0.4152421688680114,0.4152421688680114,0.4152421688680114,0.05008193477988243,0.11377239952079292,0.4401940628028111,0.4401940628028111,0.4401940628028111,0.0,0.0,5.666493565829707,0.006648991256952286,0.13894057273864746
iteration_1260_fully_fogged,0,1,0.0482829250395298,0.060277151057914806,0.8010153796608461,0.8010153796608461,0.8010153796608461,0.08963674306869507,0.11181259342805058,0.8016694749717501,0.8016694749717501,0.8016694749717501,0.0,0.0,5.068989496504161,0.014521090313792229,0.1394517421722412
iteration_1260_fully_fogged,0,2,0.21095237135887146,0.03807982798589735,5.539740658413596,5.539740658413596,5.539740658413596,0.3276146948337555,0.06960382475992855,4.706849026813334,4.706849026813334,4.706849026813334,0.9183673469387755,1.0,2.038703801647187,0.06689704209566116,0.3823605477809906
iteration_1260_fully_fogged,0,3,0.0686601847410202,0.06702136603139695,1.0244521830375037,1.0244521830375037,1.0244521830375037,0.12809467315673828,0.1244790331036055,1.0290461771993638,1.0290461771993638,1.0290461771993638,0.04081632653061224,0.12244897959183673,4.615820576731839,0.020117897540330887,0.041723206639289856
iteration_1260_fully_fogged,0,4,0.23792971670627594,0.06427415551579728,3.7017945206265317,3.7017945206265317,3.7017945206265317,0.37863820791244507,0.11962641598213287,3.1651722138778915,3.1651722138778915,3.1651722138778915,0.8979591836734694,1.0,2.631667620651567,0.06591705232858658,0.038427937775850296
iteration_1260_fully_fogged,0,5,0.07390715926885605,0.0638941503351643,1.1567124514711806,1.1567124514711806,1.1567124514711806,0.14253531396389008,0.11859074409823028,1.201909264063865,1.201909264063865,1.201909264063865,0.10204081632653061,0.2653061224489796,4.263303437283795,0.02087712287902832,0.08344145864248276
iteration_1260_fully_fogged,0,6,0.049072183668613434,0.059947190818940704,0.8185902124559398,0.8185902124559398,0.8185902124559398,0.09156498312950134,0.11125175705572374,0.8230430291868407,0.8230430291868407,0.8230430291868407,0.0,0.0,5.040223398873375,0.014206087216734886,0.1453513354063034
iteration_1260_fully_fogged,0,7,0.028968144208192825,0.049891597711715564,0.5806216985789275,0.5806216985789275,0.5806216985789275,0.0571349635720253,0.0928673400816058,0.6152320452143757,0.6152320452143757,0.6152320452143757,0.0,0.0,5.321089919576165,0.008164357393980026,0.29567575454711914
iteration_1260_fully_fogged,1,0,0.06632896512746811,0.06526471400747492,1.016306684801703,1.016306684801703,1.016306684801703,0.12270066142082214,0.12125044027153327,1.0119605433682648,1.0119605433682648,1.0119605433682648,0.10204081632653061,0.16326530612244897,4.6615253996271715,0.019479360431432724,0.06752956658601761
iteration_1260_fully_fogged,1,1,0.19329555332660675,0.05986832693016448,3.2286780546261657,3.2286780546261657,3.2286780546261657,0.32084012031555176,0.11140530401853475,2.8799357727363937,2.8799357727363937,2.8799357727363937,0.7346938775510204,0.9795918367346939,2.718614758546949,0.07126389443874359,0.0942726731300354
iteration_1260_fully_fogged,1,2,0.11497984081506729,0.05295162898849467,2.171412721600125,2.171412721600125,2.171412721600125,0.20131869614124298,0.09801352812218019,2.0539888727430182,2.0539888727430182,2.0539888727430182,0.673469387755102,0.8163265306122449,3.320497185087596,0.038259200751781464,0.215506449341774
iteration_1260_fully_fogged,1,3,0.04989749193191528,0.06177282680560942,0.8077579497686874,0.8077579497686874,0.8077579497686874,0.09475437551736832,0.11457946072934437,0.8269752267484817,0.8269752267484817,0.8269752267484817,0.0,0.0,4.956227706858466,0.013880942948162556,0.11901015043258667
iteration_1260_fully_fogged,1,4,0.17247210443019867,0.06390173375910643,2.6990207351865507,2.6990207351865507,2.6990207351865507,0.2952514588832855,0.1188253053039515,2.484752369270513,2.484752369270513,2.484752369270513,0.8367346938775511,0.9795918367346939,2.976033657399279,0.05979888141155243,0.04817885160446167
iteration_1260_fully_fogged,1,5,0.08044847100973129,0.05837457976779159,1.3781421867146195,1.3781421867146195,1.3781421867146195,0.14489847421646118,0.10844400943237908,1.336159322906753,1.336159322906753,1.336159322906753,0.24489795918367346,0.30612244897959184,4.125404768431821,0.02506059594452381,0.15818415582180023
iteration_1260_fully_fogged,1,6,0.03373159468173981,0.05990282694498698,0.5631052222747005,0.5631052222747005,0.5631052222747005,0.06495414674282074,0.11122891730090387,0.5839681651049651,0.5839681651049651,0.5839681651049651,0.0,0.0,5.547149426815627,0.009138291701674461,0.1518859714269638
iteration_1260_fully_fogged,1,7,0.0845649465918541,0.0631696630750789,1.338695545856344,1.338695545856344,1.338695545856344,0.15274734795093536,0.11743763993893351,1.3006677248483756,1.3006677248483756,1.3006677248483756,0.3673469387755102,0.4897959183673469,4.190505880748361,0.026191171258687973,0.09148366004228592
iteration_1260_fully_fogged,2,0,0.0687015950679779,0.06652315741493589,1.0327470573811475,1.0327470573811475,1.0327470573811475,0.12766197323799133,0.12352376395747776,1.0335013211056143,1.0335013211056143,1.0335013211056143,0.12244897959183673,0.30612244897959184,4.606819978796189,0.01999388076364994,0.048381444066762924
iteration_1260_fully_fogged,2,1,0.05730476975440979,0.06700249530729793,0.8552632180576137,0.8552632180576137,0.8552632180576137,0.10729766637086868,0.12443312064928264,0.8622918545399935,0.8622918545399935,0.8622918545399935,0.0,0.0,4.934026118696556,0.01651340164244175,0.04544282332062721
iteration_1260_fully_fogged,2,2,0.054732535034418106,0.06626627127937719,0.8259486157545655,0.8259486157545655,0.8259486157545655,0.10415707528591156,0.1230267017674284,0.8466216991073346,0.8466216991073346,0.8466216991073346,0.0,0.0,4.934144748312169,0.015154178254306316,0.056477051228284836
iteration_1260_fully_fogged,2,3,0.0677417442202568,0.06678298630175136,1.014356319949117,1.014356319949117,1.014356319949117,0.12629537284374237,0.12402016639101263,1.0183454555733817,1.0183454555733817,1.0183454555733817,0.061224489795918366,0.10204081632653061,4.622594401399132,0.019551625475287437,0.04536125436425209
iteration_1260_fully_fogged,2,4,0.06783007830381393,0.06688879209817672,1.0140724054974057,1.0140724054974057,1.0140724054974057,0.1259288191795349,0.12425730050522454,1.0134520761960388,1.0134520761960388,1.0134520761960388,0.08163265306122448,0.1836734693877551,4.65840097038705,0.019813483580946922,0.04430953413248062
iteration_1260_fully_fogged,2,5,0.0641704648733139,0.06399045608380213,1.0028130568295377,1.0028130568295377,1.0028130568295377,0.12035661935806274,0.1187090142851784,1.0138793593966358,1.0138793593966358,1.0138793593966358,0.10204081632653061,0.1836734693877551,4.614306721812047,0.01835266314446926,0.08360687643289566
iteration_1260_fully_fogged,2,6,0.11344058066606522,0.057304501508166183,1.979610286809656,1.979610286809656,1.979610286809656,0.19747143983840942,0.10651806219905413,1.8538775092377051,1.8538775092377051,1.8538775092377051,0.6938775510204082,0.9387755102040817,3.5130607990321874,0.03803911805152893,0.1613088846206665
iteration_1260_fully_fogged,2,7,0.06320834159851074,0.06579469684131292,0.960690521167077,0.960690521167077,0.960690521167077,0.11816214770078659,0.12215129379816606,0.9673425800632874,0.9673425800632874,0.9673425800632874,0.02040816326530612,0.061224489795918366,4.713761399717507,0.018208015710115433,0.06002480536699295
